mezcla,politica,run,app,ipc,nucleos
0,3,1,mcf_rREPEAT,0.8573142996529093,0,175.4
0,3,1,omnetpp_r,0.7876843591152071,0,287.4
0,3,1,nab_r,1.5577860519925835,0,145.2
0,3,1,,1.2024005920115475,0,185.6
0,3,1,REPEAT,1.5336214232096534,1421,761.0
0,3,2,astar,1.2545216588882304,0,115.6
0,3,2,mcf_r,0.9005858797021836,1,264.2
0,3,2,hmmer,1.580996083725482,0,101.6
0,3,2,leela_r,1.5532206944304656,0,106.8
0,3,2,sjeng,1.6933503122860236,0,155.4
0,3,2,mcf_rREPEAT,0.8580780330138216,0,175.0
0,3,2,omnetpp_r,0.7888584179978061,0,287.0
0,3,2,nab_r,1.5564345624202756,0,145.4
0,3,2,,1.2044754002408569,0,185.2
0,3,2,REPEAT,1.5325580595306532,1415,759.4
1,0,1,gamess,3.573794397623649,0,97.6
1,0,1,gobmk,1.4461017820676978,49,128.2
1,0,1,zeusmp,1.3072028621354075,35,152.6
1,0,1,mcf_r,0.7820696972844796,1,289.2
1,0,1,lbm,1.5272783214992776,21,145.4
1,0,1,lbmREPEAT,1.5430116484301195,9,122.2
